연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,口 한문,口 아라비아 숫자
1,3,wda_400020,京都漢城府,五部,경도한양부,오부,,173759
2,3,wda_400020,京都漢城府,城底十里,경도한양부,성저십리,,94248
3,3,wda_400030,舊都開城留後司,都城,개성유후사,도성,"八千三百七十二,",100790
4,3,wda_400030,舊都開城留後司,屬縣 開城,개성유후사,속현개성,"二千二十一,",71897
5,3,wda_400040,京畿,,경기,,五萬三百五十二。,50352
6,3,wda_400050,忠淸道,,충청도,,一十萬七百九十。,5444
7,3,wda_400060,慶尙道,,경상도,,十七萬三千七百五十九。,3703
8,3,wda_400070,全羅道,,전라도,,"九萬四千二百四十八,",1722
9,3,wda_400080,黃海道,,황해도,,七萬一千八百九十七。,1923
10,3,wda_400090,江原道,,강원도,,二萬九千單九。,29009
11,3,wda_400100,平安道,,평안도,,十萬五千四百四十四。,3898
12,3,wda_400110,咸吉道,,함길도,,六萬六千九百七十八。,2828
13,4,wda_40004001,京畿 / 廣州牧,,경기 / 광주목,,三千一百單十。,2125
14,4,wda_40004002,京畿 / 楊州都護府,,경기 / 양주도호부,,二千七百二十六。,588
15,4,wda_40004003,京畿 / 水原都護府,,경기 / 수원도호부,,四千九百二十六。,2180
16,4,wda_40004004,京畿 / 鐵原都護府,,경기 / 철원도호부,,七百七十。,971
17,4,wda_40004005,京畿 / 富平都護府,,경기 / 부평도호부,,九百五十四。,657
18,4,wda_40005001,忠淸道 / 忠州牧,,충청도 / 충주목,,七千四百五十二。,3189
19,4,wda_40005002,忠淸道 / 淸州牧,,충청도 / 청주목,,六千七百三十八。,5906
20,4,wda_40005003,忠淸道 / 公州牧,,충청도 / 공주목,,一萬四十九。,66978
21,4,wda_40005004,忠淸道 / 洪州牧,,충청도 / 홍주목,,六千三十一。,5894
22,4,wda_40006001,慶尙道 / 慶州府,本府,경상도 / 경주부,본부,五千八百九十四。,6642
23,4,wda_40006001,慶尙道 / 慶州府,安康,경상도 / 경주부,안강,一千四百五十。,5829
24,4,wda_40006001,慶尙道 / 慶州府,杞溪,경상도 / 경주부,기계,四百九十單一。,5807
25,4,wda_40006001,慶尙道 / 慶州府,神光,경상도 / 경주부,신광,四百四十八。,10049
26,4,wda_40006001,慶尙道 / 慶州府,慈仁,경상도 / 경주부,자인,一千六。,4955
27,4,wda_40006002,慶尙道 / 安東大都護府,本府,경상도 / 안동대도호부,본부,三千三百二十。,66
28,4,wda_40006002,慶尙道 / 安東大都護府,臨河,경상도 / 안동대도호부,임하,一千九百單五。,4182
29,4,wda_40006002,慶尙道 / 安東大都護府,豐山,경상도 / 안동대도호부,풍산,一千三(千)〔十〕九。,5522
30,4,wda_40006002,慶尙道 / 安東大都護府,一直,경상도 / 안동대도호부,일직,八十三。,3132
31,4,wda_40006002,慶尙道 / 安東大都護府,吉安,경상도 / 안동대도호부,길안,一百六十三。,3320
32,4,wda_40006002,慶尙道 / 安東大都護府,甘泉,경상도 / 안동대도호부,감천,五百二十四。,6738
33,4,wda_40006002,慶尙道 / 安東大都護府,柰城,경상도 / 안동대도호부,내성,三百七十一。,7452
34,4,wda_40006002,慶尙道 / 安東大都護府,春陽,경상도 / 안동대도호부,춘양,一百單五。,1329
35,4,wda_40006002,慶尙道 / 安東大都護府,才山,경상도 / 안동대도호부,재산,一百五十七。,6804
36,4,wda_40006003,慶尙道 / 尙州牧,本州,경상도 / 상주목,본주,三千一百三十二。,1949
37,4,wda_40006003,慶尙道 / 尙州牧,靑理,경상도 / 상주목,청리,三百七。,14440
38,4,wda_40006003,慶尙道 / 尙州牧,化寧,경상도 / 상주목,화령,五百五十七。,4926
39,4,wda_40006003,慶尙道 / 尙州牧,中牟,경상도 / 상주목,중모,一百五十。,6031
40,4,wda_40006003,慶尙道 / 尙州牧,丹密,경상도 / 상주목,단밀,七百。,1608
41,4,wda_40006003,慶尙道 / 尙州牧,山陽,경상도 / 상주목,산양,六百六十七。,3266
42,4,wda_40006003,慶尙道 / 尙州牧,功城,경상도 / 상주목,공성,六百三十。,4161
43,4,wda_40006003,慶尙道 / 尙州牧,永順,경상도 / 상주목,영순,一百三十二。,2065
44,4,wda_40006004,慶尙道 / 晉州牧,本州,경상도 / 진주목,본주,五千九百六。,4352
45,4,wda_40006004,慶尙道 / 晉州牧,班城,경상도 / 진주목,반성,六百八十七。,3672
46,4,wda_40006004,慶尙道 / 晉州牧,永善,경상도 / 진주목,영선,七百四十八。,2033
47,4,wda_40006004,慶尙道 / 晉州牧,岳陽,경상도 / 진주목,악양,一百八十單一。,2885
48,4,wda_40007001,全羅道 / 全州府,,전라도 / 전주부,,五千八百二十九。,1629
49,4,wda_40007002,全羅道 / 羅州牧,,전라도 / 나주목,,四十二十六。,1384
50,4,wda_40007003,全羅道 / 南原都護府,,전라도 / 남원도호부,,四千九百十二。,1662
51,4,wda_40007004,全羅道 / 長興都護府,,전라도 / 장흥도호부,,一千四十一。,1623
52,4,wda_40007005,全羅道 / 濟州牧,,전라도 / 제주목,,"八千三百二十四,",2137
53,4,wda_40008001,黃海道 / 黃州牧,,황해도 / 황주목,,五千二百九十一。,3081
54,4,wda_40008002,黃海道 / 海州牧,,황해도 / 해주목,,六千八百十四。,1671
55,4,wda_40008003,黃海道 / 延安都護府,,황해도 / 연안도호부,,三千七百十八。,4208
56,4,wda_40008004,黃海道 / 豐川郡,,황해도 / 풍천군,,九百九十二。,1592
57,4,wda_40009001,江原道 / 江陵大都護府,本府,강원도 / 강릉대도호부,본부,三千五百十三。,2537
58,4,wda_40009001,江原道 / 江陵大都護府,連谷,강원도 / 강릉대도호부,연곡,二百五十一。,1640
59,4,wda_40009001,江原道 / 江陵大都護府,羽溪,강원도 / 강릉대도호부,우계,七百七十五。,3100
60,4,wda_40009002,江原道 / 原州牧,本州,강원도 / 원주목,본주,三千二百三十三。,5291
61,4,wda_40009002,江原道 / 原州牧,酒泉縣,강원도 / 원주목,주천현,二百八十。,1229
62,4,wda_40009003,江原道 / 淮陽都護府,本府,강원도 / 회양도호부,본부,五百九十二。,1707
63,4,wda_40009003,江原道 / 淮陽都護府,和川縣,강원도 / 회양도호부,화천현,三十九,3801
64,4,wda_40009003,江原道 / 淮陽都護府,水入縣,강원도 / 회양도호부,수입현,一百五十五,3361
65,4,wda_40009003,江原道 / 淮陽都護府,文登縣,강원도 / 회양도호부,문등현,二十八,2101
66,4,wda_40009003,江原道 / 淮陽都護府,風谷縣,강원도 / 회양도호부,남곡현,四十六,1086
67,4,wda_40009003,江原道 / 淮陽都護府,長楊縣,강원도 / 회양도호부,장양현,二百十八,1644
68,4,wda_40009004,江原道 / 三陟都護府,,강원도 / 삼척도호부,,二千六百十三。,3503
69,4,wda_40009005,江原道 / 春川都護府,本府,강원도 / 춘천도호부,본부,一千九百五十。,1822
70,4,wda_40009005,江原道 / 春川都護府,基麟,강원도 / 춘천도호부,기린,二百五十一。,1760
71,4,wda_40009006,江原道 / 杆城郡,本郡,강원도 / 간성군,본군,三百十三。,1955
72,4,wda_40009006,江原道 / 杆城郡,烈山,강원도 / 간성군,열산,二百五十四。,1526
73,4,wda_40010001,平安道 / 平壤府,,평안도 / 평양부,,一萬四千四百四十。,3708
74,4,wda_40010002,平安道 / 安州牧,,평안도 / 안주목,,八千五百六十七。,1030
75,4,wda_40010003,平安道 / 義州牧,,평안도 / 의주목,,一千四百九十八。,1517
76,4,wda_40010004,平安道 / 朔州都護府,,평안도 / 삭주도호부,,三百九十四。,1871
77,4,wda_40010005,平安道 / 江界都護府,,평안도 / 강계도호부,,四千二百四十八。,1337
78,4,wda_40011001,咸吉道 / 咸興府,,함길도 / 함흥부,,八千九百十三。,1807
79,4,wda_40011002,咸吉道 / 永興大都護府,,함길도 / 영흥대도호부,,八千五百二十四。,1331
80,4,wda_40011003,咸吉道 / 安邊都護府,,함길도 / 안변도호부,,三千九百九十七。,1409
81,4,wda_40011004,咸吉道 / 吉州牧,,함길도 / 길주목,,一萬四千八百十九。,1194
82,4,wda_40011005,咸吉道 / 慶源都護府,,함길도 / 경원도호부,,五千二百七十一。,1887
83,4,wda_40011006,咸吉道 / 會寧都護府,,함길도 / 회령도호부,,二千一百五十七。,2104
84,4,wda_40011007,咸吉道 / 鍾城都護府,,함길도 / 종성도호부,,二萬一千八百十五。,2906
85,4,wda_40011008,咸吉道 / 穩城都護府,,함길도 / 온성도호부,,三千六百三十七。,1945
86,4,wda_40011009,咸吉道 / 慶興都護府,,함길도 / 경흥도호부,,五千五十八。,1607
87,4,wda_40011010,咸吉道 / 富寧都護府,,함길도 / 부녕도호부,,二千二百九十四。,6323
88,4,wda_40011011,咸吉道 / 三水郡,,함길도 / 삼수군,,三百四十八。,1245
89,5,wda_40004001_001,京畿 / 廣州牧 / 驪興都護府,,경기 / 광주목 / 여흥도호부,,一千一百四十四。,2385
90,5,wda_40004001_002,京畿 / 廣州牧 / 楊根郡,,경기 / 광주목 / 양근군,,一千六百八十六。,1337
91,5,wda_40004001_003,京畿 / 廣州牧 / 陰竹縣,,경기 / 광주목 / 음죽현,,一千八十八。,3885
92,5,wda_40004001_004,京畿 / 廣州牧 / 利川縣,,경기 / 광주목 / 이천현,,三千八百九十八。,1092
93,5,wda_40004001_005,京畿 / 廣州牧 / 果川縣,,경기 / 광주목 / 과천현,,七百四十三。,1051
94,5,wda_40004001_006,京畿 / 廣州牧 / 川寧縣,,경기 / 광주목 / 천녕현,,一千二百三十四。,3283
95,5,wda_40004001_007,京畿 / 廣州牧 / 砥平縣,,경기 / 광주목 / 지평현,,五百十五。,562
96,5,wda_40004001_008,京畿 / 廣州牧 / 衿川縣,,경기 / 광주목 / 금천현,,九百三十七。,3155
97,5,wda_40004002_001,京畿 / 楊州都護府 / 原平都護府,,경기 / 양주도호부 / 원평도호부,,一千三百十六。,1277
98,5,wda_40004002_002,京畿 / 楊州都護府 / 高陽縣,,경기 / 양주도호부 / 고양현,,一千三百十四。,8567
99,5,wda_40004002_003,京畿 / 楊州都護府 / 交河縣,,경기 / 양주도호부 / 교하현,,一千六百二十九。,1134
100,5,wda_40004002_004,京畿 / 楊州都護府 / 臨津縣,,경기 / 양주도호부 / 임진현,,六百十三。,2186
101,5,wda_40004002_005,京畿 / 楊州都護府 / 積城縣,,경기 / 양주도호부 / 적성현,,三百八十。,974
102,5,wda_40004002_006,京畿 / 楊州都護府 / 抱川縣,,경기 / 양주도호부 / 포천현,,一千二百二十二。,1591
103,5,wda_40004002_007,京畿 / 楊州都護府 / 加平縣,,경기 / 양주도호부 / 가평현,,九百八十七。,1948
104,5,wda_40004003_001,京畿 / 水原都護府 / 南陽都護府,,경기 / 수원도호부 / 남양도호부,,七百七十八。,1138
105,5,wda_40004003_002,京畿 / 水原都護府 / 安山郡,,경기 / 수원도호부 / 안산군,,五百八十八。,793
106,5,wda_40004003_003,京畿 / 水原都護府 / 安城郡,,경기 / 수원도호부 / 안성군,,一千七百六十三。,6200
107,5,wda_40004003_004,京畿 / 水原都護府 / 振威縣,,경기 / 수원도호부 / 진위현,,五百三十五。,1041
108,5,wda_40004003_005,京畿 / 水原都護府 / 龍仁縣,,경기 / 수원도호부 / 용인현,,一千一百六十八。,1207
109,5,wda_40004003_006,京畿 / 水原都護府 / 陽城縣,,경기 / 수원도호부 / 양성현,,一千二百十。,2027
110,5,wda_40004003_007,京畿 / 水原都護府 / 陽智縣,,경기 / 수원도호부 / 양지현,,六百單九。,2136
111,5,wda_40004004_001,京畿 / 鐵原都護府 / 朔寧郡,,경기 / 철원도호부 / 삭녕군,,七百二十二。,3064
112,5,wda_40004004_002,京畿 / 鐵原都護府 / 永平縣,,경기 / 철원도호부 / 영평현,,四百十九。,1333
113,5,wda_40004004_003,京畿 / 鐵原都護府 / 長湍縣,,경기 / 철원도호부 / 장단현,,四百六十七。,2643
114,5,wda_40004004_004,京畿 / 鐵原都護府 / 安峽縣,,경기 / 철원도호부 / 안협현,,四百單十。,1971
115,5,wda_40004004_005,京畿 / 鐵原都護府 / 臨江縣,,경기 / 철원도호부 / 임강현,,八百七十八。,3167
116,5,wda_40004004_006,京畿 / 鐵原都護府 / 麻田縣,,경기 / 철원도호부 / 마전현,,四百八十四。,1412
117,5,wda_40004004_007,京畿 / 鐵原都護府 / 漣川縣,,경기 / 철원도호부 / 연천현,,三百六十。,2171
118,5,wda_40004005_001,京畿 / 富平都護府 / 江華都護府,,경기 / 부평도호부 / 강화도호부,,三千二百八十三。,1439
119,5,wda_40004005_002,京畿 / 富平都護府 / 仁川郡,,경기 / 부평도호부 / 인천군,,一千四百一十二。,1885
120,5,wda_40004005_003,京畿 / 富平都護府 / 海豐郡,,경기 / 부평도호부 / 해풍군,,一千三百八十一。,707
121,5,wda_40004005_004,京畿 / 富平都護府 / 金浦縣,,경기 / 부평도호부 / 김포현,,六百五十一。,1487
122,5,wda_40004005_005,京畿 / 富平都護府 / 陽川縣,,경기 / 부평도호부 / 양천현,,五百單九。,872
123,5,wda_40004005_006,京畿 / 富平都護府 / 喬桐縣,,경기 / 부평도호부 / 교동현,,五百六十二。,1087
124,5,wda_40004005_007,京畿 / 富平都護府 / 通津縣,,경기 / 부평도호부 / 통진현,,九百七十一。,727
125,5,wda_40005001_001,忠淸道 / 忠州牧 / 丹陽郡,,충청도 / 충주목 / 단양군,,七百二十四。,803
126,5,wda_40005001_002,忠淸道 / 忠州牧 / 淸風郡,,충청도 / 충주목 / 청풍군,,六百五十六。,3786
127,5,wda_40005001_003,忠淸道 / 忠州牧 / 槐山郡,,충청도 / 충주목 / 괴산군,,一千三百三。,1890
128,5,wda_40005001_004,忠淸道 / 忠州牧 / 陰城縣,,충청도 / 충주목 / 음성현,,七百二十六。,802
129,5,wda_40005001_005,忠淸道 / 忠州牧 / 延豊縣,,충청도 / 충주목 / 연풍현,,三百四十一。,1108
130,5,wda_40005001_006,忠淸道 / 忠州牧 / 堤川縣,,충청도 / 충주목 / 제천현,,一千二百三十五。,1446
131,5,wda_40005001_007,忠淸道 / 忠州牧 / 永春縣,,충청도 / 충주목 / 영춘현,,五百八十二。,1477
132,5,wda_40005002_001,忠淸道 / 淸州牧 / 天安郡,,충청도 / 청주목 / 천안군,,二千三百八十五。,1458
133,5,wda_40005002_002,忠淸道 / 淸州牧 / 沃川郡,,충청도 / 청주목 / 옥천군,,一千八百三十四。,2999
134,5,wda_40005002_003,忠淸道 / 淸州牧 / 文義縣,,충청도 / 청주목 / 문의현,,一千八百七十一。,2140
135,5,wda_40005002_004,忠淸道 / 淸州牧 / 木川縣,,충청도 / 청주목 / 목천현,,二千一百八十六。,8903
136,5,wda_40005002_005,忠淸道 / 淸州牧 / 竹山縣,,충청도 / 청주목 / 죽산현,,二千一百十八。,3997
137,5,wda_40005002_006,忠淸道 / 淸州牧 / 靑安縣,,충청도 / 청주목 / 청안현,,一千四百十九。,1208
138,5,wda_40005002_007,忠淸道 / 淸州牧 / 全義縣,,충청도 / 청주목 / 전의현,,五百七十二。,1266
139,5,wda_40005002_008,忠淸道 / 淸州牧 / 燕岐縣,,충청도 / 청주목 / 연기현,,一千四百四十六。,1301
140,5,wda_40005002_009,忠淸道 / 淸州牧 / 稷山縣,,충청도 / 청주목 / 직산현,,二千一百十一。,5439
141,5,wda_40005002_010,忠淸道 / 淸州牧 / 平澤縣,,충청도 / 청주목 / 평택현,,七百四。,2359
142,5,wda_40005002_011,忠淸道 / 淸州牧 / 溫水縣,,충청도 / 청주목 / 온수현,,一千五百十六。,778
143,5,wda_40005002_012,忠淸道 / 淸州牧 / 新昌縣,,충청도 / 청주목 / 신창현,,一千五百五十五。,303
144,5,wda_40005002_013,忠淸道 / 淸州牧 / 牙山縣,,충청도 / 청주목 / 아산현,,一千八百二十二。,1102
145,5,wda_40005002_014,忠淸道 / 淸州牧 / 永同縣,,충청도 / 청주목 / 영동현,,九百五十一。,840
146,5,wda_40005002_015,忠淸道 / 淸州牧 / 黃澗縣,,충청도 / 청주목 / 황간현,,七百四十二。,4337
147,5,wda_40005002_016,忠淸道 / 淸州牧 / 懷仁縣,,충청도 / 청주목 / 회인현,,六百三十三。,2700
148,5,wda_40005002_017,忠淸道 / 淸州牧 / 報恩縣,,충청도 / 청주목 / 보은현,,一千四百五十七。,1855
149,5,wda_40005002_018,忠淸道 / 淸州牧 / 靑山縣,,충청도 / 청주목 / 청산현,,六百七。,952
150,5,wda_40005002_019,忠淸道 / 淸州牧 / 鎭川縣,,충청도 / 청주목 / 진천현,,一千九百二十三。,1303
151,5,wda_40005003_001,忠淸道 / 公州牧 / 林川郡,,충청도 / 공주목 / 임천군,,一千六百七十一。,1457
152,5,wda_40005003_002,忠淸道 / 公州牧 / 韓山郡,,충청도 / 공주목 / 한산군,,一千六百七。,1300
153,5,wda_40005003_003,忠淸道 / 公州牧 / 舒川郡,,충청도 / 공주목 / 서천군,,一千八百七十六。,2108
154,5,wda_40005003_004,忠淸道 / 公州牧 / 藍浦縣,,충청도 / 공주목 / 남포현,,九百四十九。,1950
155,5,wda_40005003_005,忠淸道 / 公州牧 / 庇仁縣,,충청도 / 공주목 / 비인현,,六百五十一。,2726
156,5,wda_40005003_006,忠淸道 / 公州牧 / 定山縣,,충청도 / 공주목 / 정산현,,一千一百十三。,937
157,5,wda_40005003_007,忠淸道 / 公州牧 / 鴻山縣,,충청도 / 공주목 / 홍산현,,一千九百七十一。,5466
158,5,wda_40005003_008,忠淸道 / 公州牧 / 恩津縣,,충청도 / 공주목 / 은진현,,一千七百十七。,1151
159,5,wda_40005003_009,忠淸道 / 公州牧 / 連山縣,,충청도 / 공주목 / 연산현,,一千四百八十七。,1742
160,5,wda_40005003_010,忠淸道 / 公州牧 / 懷德縣,,충청도 / 공주목 / 회덕현,,一千二百六十六。,3087
161,5,wda_40005003_011,忠淸道 / 公州牧 / 石城縣,,충청도 / 공주목 / 석성현,,一千二百八。,1763
162,5,wda_40005003_012,忠淸道 / 公州牧 / 鎭岑縣,,충청도 / 공주목 / 진잠현,,五百八十三。,858
163,5,wda_40005003_013,忠淸道 / 公州牧 / 扶餘縣,,충청도 / 공주목 / 부여현,,一千三百三十七。,954
164,5,wda_40005003_014,忠淸道 / 公州牧 / 尼山縣,,충청도 / 공주목 / 이산현,,一千五百九十一。,955
165,5,wda_40005004_001,忠淸道 / 洪州牧 / 泰安郡,,충청도 / 홍주목 / 태안군,,五百四十七。,1538
166,5,wda_40005004_002,忠淸道 / 洪州牧 / 瑞山郡,,충청도 / 홍주목 / 서산군,,一千八百八十七。,1699
167,5,wda_40005004_003,忠淸道 / 洪州牧 / 沔川郡,,충청도 / 홍주목 / 면천군,,三千一百五十五。,662
168,5,wda_40005004_004,忠淸道 / 洪州牧 / 海美縣,,충청도 / 홍주목 / 해미현,,八百五十五。,1103
169,5,wda_40005004_005,忠淸道 / 洪州牧 / 唐津縣,,충청도 / 홍주목 / 당진현,,一千四百八十九。,8524
170,5,wda_40005004_006,忠淸道 / 洪州牧 / 德山縣,,충청도 / 홍주목 / 덕산현,,三千二百十四。,1144
171,5,wda_40005004_007,忠淸道 / 洪州牧 / 禮山縣,,충청도 / 홍주목 / 예산현,,一千四百七十七。,1489
172,5,wda_40005004_008,忠淸道 / 洪州牧 / 靑陽縣,,충청도 / 홍주목 / 청양현,,一千二十一。,3809
173,5,wda_40005004_009,忠淸道 / 洪州牧 / 保寧縣,,충청도 / 홍주목 / 보령현,,一千二百十三。,837
174,5,wda_40005004_010,忠淸道 / 洪州牧 / 結城縣,,충청도 / 홍주목 / 결성현,,一千六百九十八。,953
175,5,wda_40005004_011,忠淸道 / 洪州牧 / 大興縣,,충청도 / 홍주목 / 대흥현,,一千五百十八。,747
176,5,wda_40006001_001,慶尙道 / 慶州府 / 密陽都護府,本府,경상도 / 경주부 / 밀양도호부,본부,五千五百二十二。,1143
177,5,wda_40006001_001,慶尙道 / 慶州府 / 密陽都護府,守山,경상도 / 경주부 / 밀양도호부,수산,三百五十六。,1220
178,5,wda_40006001_001,慶尙道 / 慶州府 / 密陽都護府,豐角,경상도 / 경주부 / 밀양도호부,풍각,九百七。,1741
179,5,wda_40006001_002,慶尙道 / 慶州府 / 梁山郡,,경상도 / 경주부 / 양산군,,九百三十七。,763
180,5,wda_40006001_003,慶尙道 / 慶州府 / 蔚山郡,,경상도 / 경주부 / 울산군,,四千一百六十一。,1508
181,5,wda_40006001_004,慶尙道 / 慶州府 / 淸道郡,,경상도 / 경주부 / 청도군,,三千三百六十一,1539
182,5,wda_40006001_005,慶尙道 / 慶州府 / 興海郡,,경상도 / 경주부 / 흥해군,,一千八百八十五。,3706
183,5,wda_40006001_006,慶尙道 / 慶州府 / 大丘郡,本郡,경상도 / 경주부 / 대구군,본군,一千三百二十九。,1506
184,5,wda_40006001_006,慶尙道 / 慶州府 / 大丘郡,壽城,경상도 / 경주부 / 대구군,수성,六百四十四。,722
185,5,wda_40006001_006,慶尙道 / 慶州府 / 大丘郡,河濱,경상도 / 경주부 / 대구군,하빈,一千二百四十九。,1381
186,5,wda_40006001_006,慶尙道 / 慶州府 / 大丘郡,解顔縣,경상도 / 경주부 / 대구군,해안현,一千二百單三。,874
187,5,wda_40006001_007,慶尙道 / 慶州府 / 慶山縣,,경상도 / 경주부 / 경산현,,一千三百三十七。,572
188,5,wda_40006001_008,慶尙道 / 慶州府 / 東萊縣,本縣,경상도 / 경주부 / 동래현,본현,一千一百五十一。,583
189,5,wda_40006001_008,慶尙道 / 慶州府 / 東萊縣,東平,경상도 / 경주부 / 동래현,동평,三百四十二。,742
190,5,wda_40006001_009,慶尙道 / 慶州府 / 昌寧縣,,경상도 / 경주부 / 창녕현,,四千三百五十二。,1751
191,5,wda_40006001_010,慶尙道 / 慶州府 / 彦陽縣,,경상도 / 경주부 / 언양현,,一千四百五十八。,5058
192,5,wda_40006001_011,慶尙道 / 慶州府 / 機張縣,,경상도 / 경주부 / 기장현,,三百九十七。,677
193,5,wda_40006001_012,慶尙道 / 慶州府 / 長鬐縣,,경상도 / 경주부 / 장기현,,八百一十三。,1834
194,5,wda_40006001_013,慶尙道 / 慶州府 / 靈山縣,本縣,경상도 / 경주부 / 영산현,본현,一千一百三十四。,3204
195,5,wda_40006001_013,慶尙道 / 慶州府 / 靈山縣,桂城,경상도 / 경주부 / 영산현,계성,九百七十二。,951
196,5,wda_40006001_014,慶尙道 / 慶州府 / 玄風縣,,경상도 / 경주부 / 현풍현,,一千八百七十一。,1698
197,5,wda_40006001_015,慶尙道 / 慶州府 / 迎日縣,,경상도 / 경주부 / 영일현,,一千七百四十二。,1101
198,5,wda_40006001_016,慶尙道 / 慶州府 / 淸河縣,,경상도 / 경주부 / 청하현,,七百二十四。,3233
199,5,wda_40006002_001,慶尙道 / 安東大都護府 / 寧海都護府,本府,경상도 / 안동대도호부 / 영해도호부,본부,一千五百三十八。,1679
200,5,wda_40006002_001,慶尙道 / 安東大都護府 / 寧海都護府,英陽,경상도 / 안동대도호부 / 영해도호부,영양,四百八十一。,1178
201,5,wda_40006002_001,慶尙道 / 安東大都護府 / 寧海都護府,靑杞,경상도 / 안동대도호부 / 영해도호부,청기,二百二十四。,1201
202,5,wda_40006002_002,慶尙道 / 安東大都護府 / 順興都護府,,경상도 / 안동대도호부 / 순흥도호부,,一千六百七十九。,1756
203,5,wda_40006002_003,慶尙道 / 安東大都護府 / 醴泉郡,本郡,경상도 / 안동대도호부 / 예천군,본군,三千八百。,1035
204,5,wda_40006002_003,慶尙道 / 安東大都護府 / 醴泉郡,多仁,경상도 / 안동대도호부 / 예천군,다인,一千四百二十七。,2698
205,5,wda_40006002_004,慶尙道 / 安東大都護府 / 榮川郡,,경상도 / 안동대도호부 / 영천군,,三千八十七。,850
206,5,wda_40006002_005,慶尙道 / 安東大都護府 / 永川郡,,경상도 / 안동대도호부 / 영천군,,三千六百七十二。,1686
207,5,wda_40006002_006,慶尙道 / 安東大都護府 / 靑松郡,靑鳧,경상도 / 안동대도호부 / 청송군,청부,二百十七。,855
208,5,wda_40006002_006,慶尙道 / 安東大都護府 / 靑松郡,松生,경상도 / 안동대도호부 / 청송군,송생,三百四十三。,704
209,5,wda_40006002_006,慶尙道 / 安東大都護府 / 靑松郡,安德,경상도 / 안동대도호부 / 청송군,안덕,二百五十五。,3105
210,5,wda_40006002_007,慶尙道 / 安東大都護府 / 義城縣,,경상도 / 안동대도호부 / 의성현,,一千九百五十五。,1200
211,5,wda_40006002_008,慶尙道 / 安東大都護府 / 盈德縣,,경상도 / 안동대도호부 / 영덕현,,一千一百單十。,1168
212,5,wda_40006002_009,慶尙道 / 安東大都護府 / 禮安縣,,경상도 / 안동대도호부 / 예안현,,七百四十九。,4407
213,5,wda_40006002_010,慶尙道 / 安東大都護府 / 河陽縣,,경상도 / 안동대도호부 / 하양현,,一千八十七。,937
214,5,wda_40006002_011,慶尙道 / 安東大都護府 / 基川縣,本縣,경상도 / 안동대도호부 / 기천현,본현,七百單九。,709
215,5,wda_40006002_011,慶尙道 / 安東大都護府 / 基川縣,殷豐,경상도 / 안동대도호부 / 기천현,은풍,三百單七。,901
216,5,wda_40006002_012,慶尙道 / 安東大都護府 / 仁同縣,本縣,경상도 / 안동대도호부 / 인동현,본현,一千八十六。,1181
217,5,wda_40006002_012,慶尙道 / 安東大都護府 / 仁同縣,若木,경상도 / 안동대도호부 / 인동현,약목,一千一百二。,743
