연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,口 한문,口 아라비아 숫자
218,5,wda_40006002_013,慶尙道 / 安東大都護府 / 奉化縣,,경상도 / 안동대도호부 / 봉화현,,四百七十三。,1235
219,5,wda_40006002_014,慶尙道 / 安東大都護府 / 義興縣,本縣,경상도 / 안동대도호부 / 의흥현,본현,九百五十五。,1483
220,5,wda_40006002_014,慶尙道 / 安東大都護府 / 義興縣,缶溪,경상도 / 안동대도호부 / 의흥현,부계,四百七十九。,871
221,5,wda_40006002_015,慶尙道 / 安東大都護府 / 新寧縣,本縣,경상도 / 안동대도호부 / 신녕현,본현,一千三百單一。,1363
222,5,wda_40006002_015,慶尙道 / 安東大都護府 / 新寧縣,梨旨,경상도 / 안동대도호부 / 신녕현,이지,一百九十八。,607
223,5,wda_40006002_016,慶尙道 / 安東大都護府 / 眞寶縣,,경상도 / 안동대도호부 / 진보현,,五百二十六。,605
224,5,wda_40006002_017,慶尙道 / 安東大都護府 / 比安縣,比屋,경상도 / 안동대도호부 / 비안현,비옥,一千一百單二。,1200
225,5,wda_40006002_017,慶尙道 / 安東大都護府 / 比安縣,安貞,경상도 / 안동대도호부 / 비안현,안정,八百七十。,609
226,5,wda_40006003_001,慶尙道 / 尙州牧 / 星州牧,本州,경상도 / 상주목 / 성주목,본주,五千八百七。,1823
227,5,wda_40006003_001,慶尙道 / 尙州牧 / 星州牧,加利,경상도 / 상주목 / 성주목,가리,九百二十四。,4459
228,5,wda_40006003_001,慶尙道 / 尙州牧 / 星州牧,花園,경상도 / 상주목 / 성주목,화원,一千三百六十單一。,1154
229,5,wda_40006003_001,慶尙道 / 尙州牧 / 星州牧,八莒,경상도 / 상주목 / 성주목,팔거,一千四百八十單一。,1555
230,5,wda_40006003_002,慶尙道 / 尙州牧 / 善山都護府,本府,경상도 / 상주목 / 선산도호부,본부,四千二百十八。,953
231,5,wda_40006003_002,慶尙道 / 尙州牧 / 善山都護府,海平,경상도 / 상주목 / 선산도호부,해평,一千三百八十九。,949
232,5,wda_40006003_003,慶尙道 / 尙州牧 / 陜川郡,本郡,경상도 / 상주목 / 합천군,본군,一千五百一十七。,835
233,5,wda_40006003_003,慶尙道 / 尙州牧 / 陜川郡,冶爐,경상도 / 상주목 / 합천군,야로,八百四十四。,651
234,5,wda_40006003_004,慶尙道 / 尙州牧 / 草溪郡,,경상도 / 상주목 / 초계군,,二千五百三十七。,473
235,5,wda_40006003_005,慶尙道 / 尙州牧 / 金山郡,,경상도 / 상주목 / 금산군,,三千六十四。,274
236,5,wda_40006003_006,慶尙道 / 尙州牧 / 高靈縣,,경상도 / 상주목 / 고령현,,一千七百二十二。,686
237,5,wda_40006003_007,慶尙道 / 尙州牧 / 開寧縣,,경상도 / 상주목 / 개녕현,,二千三百五十九。,1088
238,5,wda_40006003_008,慶尙道 / 尙州牧 / 咸昌縣,,경상도 / 상주목 / 함창현,,二千一百四十。,505
239,5,wda_40006003_009,慶尙道 / 尙州牧 / 龍宮縣,,경상도 / 상주목 / 용궁현,,二千一百二十五。,749
240,5,wda_40006003_010,慶尙道 / 尙州牧 / 聞慶縣,本縣,경상도 / 상주목 / 문경현,본현,一千六十五。,882
241,5,wda_40006003_010,慶尙道 / 尙州牧 / 聞慶縣,加恩,경상도 / 상주목 / 문경현,가은,七百二十。,651
242,5,wda_40006003_011,慶尙道 / 尙州牧 / 軍威縣,本縣,경상도 / 상주목 / 군위현,본현,六百七十七。,675
243,5,wda_40006003_011,慶尙道 / 尙州牧 / 軍威縣,孝靈,경상도 / 상주목 / 군위현,효령,三百七十五。,2763
244,5,wda_40006003_012,慶尙道 / 尙州牧 / 知禮縣,,경상도 / 상주목 / 지례현,,一千二百。,985
245,5,wda_40006004_001,慶尙道 / 晉州牧 / 金海都護府,本府,경상도 / 진주목 / 김해도호부,본부,六千六百四十二。,1065
246,5,wda_40006004_001,慶尙道 / 晉州牧 / 金海都護府,熊神,경상도 / 진주목 / 김해도호부,웅신,三百十八。,535
247,5,wda_40006004_001,慶尙道 / 晉州牧 / 金海都護府,莞浦,경상도 / 진주목 / 김해도호부,완포,一千七十九。,3108
248,5,wda_40006004_002,慶尙道 / 晉州牧 / 昌原都護府,,경상도 / 진주목 / 창원도호부,,四千九百五十五。,1222
249,5,wda_40006004_003,慶尙道 / 晉州牧 / 咸安郡,,경상도 / 진주목 / 함안군,,三千二百六十六。,659
250,5,wda_40006004_004,慶尙道 / 晉州牧 / 咸陽郡,,경상도 / 진주목 / 함양군,,一千九百四十八。,397
251,5,wda_40006004_005,慶尙道 / 晉州牧 / 昆南郡,,경상도 / 진주목 / 곤남군,,一千三百。,207
252,5,wda_40006004_006,慶尙道 / 晉州牧 / 固城縣,,경상도 / 진주목 / 고성현,,二千八百八十五。,1186
253,5,wda_40006004_007,慶尙道 / 晉州牧 / 巨濟縣,,경상도 / 진주목 / 거제현,,四百二十三。,1409
254,5,wda_40006004_008,慶尙道 / 晉州牧 / 泗川縣,,경상도 / 진주목 / 사천현,,一千八百十七。,2481
255,5,wda_40006004_009,慶尙道 / 晉州牧 / 居昌縣,,경상도 / 진주목 / 거창현,,一千六百四十。,726
256,5,wda_40006004_010,慶尙道 / 晉州牧 / 河東縣,,경상도 / 진주목 / 하동현,,一千一百八。,724
257,5,wda_40006004_011,慶尙道 / 晉州牧 / 珍城縣,本縣,경상도 / 진주목 / 진성현,본현,八百七十二。,907
258,5,wda_40006004_011,慶尙道 / 晉州牧 / 珍城縣,丹溪,경상도 / 진주목 / 진성현,단계,四百九十六。,1132
259,5,wda_40006004_012,慶尙道 / 晉州牧 / 漆原縣,本縣,경상도 / 진주목 / 칠원현,본현,一千三百三十單一。,2028
260,5,wda_40006004_012,慶尙道 / 晉州牧 / 漆原縣,龜山,경상도 / 진주목 / 칠원현,구산,三百。,1629
261,5,wda_40006004_013,慶尙道 / 晉州牧 / 山陰縣,,경상도 / 진주목 / 산음현,,一千一百三十八。,987
262,5,wda_40006004_014,慶尙道 / 晉州牧 / 安陰縣,,경상도 / 진주목 / 안음현,,七百九十三。,1234
263,5,wda_40006004_015,慶尙道 / 晉州牧 / 三嘉縣,,경상도 / 진주목 / 삼가현,,二千二十七。,964
264,5,wda_40006004_016,慶尙道 / 晉州牧 / 宜寧縣,本縣,경상도 / 진주목 / 의령현,본현,一千六百二十九。,2021
265,5,wda_40006004_016,慶尙道 / 晉州牧 / 宜寧縣,新繁,경상도 / 진주목 / 의령현,신번,九百八十二。,992
266,5,wda_40006004_017,慶尙道 / 晉州牧 / 鎭海縣,,경상도 / 진주목 / 진해현,,九百五十三。,605
267,5,wda_40007001_001,全羅道 / 全州府 / 珍山郡,,전라도 / 전주부 / 진산군,,五百十四。,501
268,5,wda_40007001_002,全羅道 / 全州府 / 錦山郡,,전라도 / 전주부 / 금산군,,一千八百九十。,722
269,5,wda_40007001_003,全羅道 / 全州府 / 益山郡,,전라도 / 전주부 / 익산군,,一千六百二十三。,409
270,5,wda_40007001_004,全羅道 / 全州府 / 古阜郡,,전라도 / 전주부 / 고부군,,一千五百九十二。,633
271,5,wda_40007001_005,全羅道 / 全州府 / 金堤郡,,전라도 / 전주부 / 김제군,,二千六十五。,952
272,5,wda_40007001_006,全羅道 / 全州府 / 金溝縣,,전라도 / 전주부 / 금구현,,一千二百單七。,1068
273,5,wda_40007001_007,全羅道 / 全州府 / 萬頃縣,,전라도 / 전주부 / 만경현,,七百二十七。,878
274,5,wda_40007001_008,全羅道 / 全州府 / 臨陂縣,,전라도 / 전주부 / 임피현,,一千九百四十九。,813
275,5,wda_40007001_009,全羅道 / 全州府 / 沃溝縣,,전라도 / 전주부 / 옥구현,,一千一百九十四。,509
276,5,wda_40007001_010,全羅道 / 全州府 / 咸悅縣,,전라도 / 전주부 / 함열현,,一千三百八十四。,839
277,5,wda_40007001_011,全羅道 / 全州府 / 龍安縣,,전라도 / 전주부 / 용안현,,六百六十二。,751
278,5,wda_40007001_012,全羅道 / 全州府 / 扶安縣,,전라도 / 전주부 / 부안현,,一千六百六十二。,1306
279,5,wda_40007001_013,全羅道 / 全州府 / 井邑縣,,전라도 / 전주부 / 정읍현,,八百五十八。,484
280,5,wda_40007001_014,全羅道 / 全州府 / 泰仁縣,,전라도 / 전주부 / 태인현,,一千五百二十六。,724
281,5,wda_40007001_015,全羅道 / 全州府 / 高山縣,,전라도 / 전주부 / 고산현,,二千二十八。,1871
282,5,wda_40007001_016,全羅道 / 全州府 / 礪山縣,,전라도 / 전주부 / 여산현,,一千四百十九。,526
283,5,wda_40007002_001,全羅道 / 羅州牧 / 海珍郡,,전라도 / 나주목 / 해진군,,七百單七。,289
284,5,wda_40007002_002,全羅道 / 羅州牧 / 靈巖郡,,전라도 / 나주목 / 영암군,,一千二百二十九。,459
285,5,wda_40007002_003,全羅道 / 羅州牧 / 靈光郡,,전라도 / 나주목 / 영광군,,二千一百三十七。,742
286,5,wda_40007002_004,全羅道 / 羅州牧 / 康津縣,,전라도 / 나주목 / 강진현,,一千六百四十四。,2603
287,5,wda_40007002_005,全羅道 / 羅州牧 / 茂長縣,,전라도 / 나주목 / 무장현,,二千三十三。,360
288,5,wda_40007002_006,全羅道 / 羅州牧 / 咸平縣,,전라도 / 나주목 / 함평현,,一千六百單八。,656
289,5,wda_40007002_007,全羅道 / 羅州牧 / 南平縣,,전라도 / 나주목 / 남평현,,一千三百三十三。,394
290,5,wda_40007002_008,全羅道 / 羅州牧 / 務安縣,,전라도 / 나주목 / 무안현,,一千三十。,1304
291,5,wda_40007002_009,全羅道 / 羅州牧 / 高敞縣,,전라도 / 나주목 / 고창현,,九百七十四。,595
292,5,wda_40007002_010,全羅道 / 羅州牧 / 興德縣,,전라도 / 나주목 / 흥덕현,,一千五十一。,582
293,5,wda_40007002_011,全羅道 / 羅州牧 / 長城縣,,전라도 / 나주목 / 장성현,,八百四十。,504
294,5,wda_40007003_001,全羅道 / 南原都護府 / 淳昌郡,,전라도 / 남원도호부 / 순창군,,一千九十二。,603
295,5,wda_40007003_002,全羅道 / 南原都護府 / 龍潭縣,,전라도 / 남원도호부 / 용담현,,二百七十四。,582
296,5,wda_40007003_003,全羅道 / 南原都護府 / 求禮縣,,전라도 / 남원도호부 / 구례현,,六百七十七。,380
297,5,wda_40007003_004,全羅道 / 南原都護府 / 任實縣,,전라도 / 남원도호부 / 임실현,,八百三。,341
298,5,wda_40007003_005,全羅道 / 南原都護府 / 雲峯縣,,전라도 / 남원도호부 / 운봉현,,五百五十一。,547
299,5,wda_40007003_006,全羅道 / 南原都護府 / 長水縣,,전라도 / 남원도호부 / 장수현,,八百十二。,467
300,5,wda_40007003_007,全羅道 / 南原都護府 / 茂朱縣,,전라도 / 남원도호부 / 무주현,,七百十五。,592
301,5,wda_40007003_008,全羅道 / 南原都護府 / 鎭安縣,,전라도 / 남원도호부 / 진안현,,七百二十二。,410
302,5,wda_40007003_009,全羅道 / 南原都護府 / 谷城縣,,전라도 / 남원도호부 / 곡성현,,六百五十七。,507
303,5,wda_40007003_010,全羅道 / 南原都護府 / 光陽縣,,전라도 / 남원도호부 / 광양현,,一千二百二十。,705
304,5,wda_40007004_001,全羅道 / 長興都護府 / 潭陽都護府,,전라도 / 장흥도호부 / 담양도호부,,一千七百六十。,323
305,5,wda_40007004_002,全羅道 / 長興都護府 / 順天都護府,,전라도 / 장흥도호부 / 순천도호부,,二千六百十八。,601
306,5,wda_40007004_003,全羅道 / 長興都護府 / 茂珍郡,,전라도 / 장흥도호부 / 무진군,,四千一百八十二。,207
307,5,wda_40007004_004,全羅道 / 長興都護府 / 寶城郡,,전라도 / 장흥도호부 / 보성군,,一千二百四十五。,
308,5,wda_40007004_005,全羅道 / 長興都護府 / 樂安郡,,전라도 / 장흥도호부 / 낙안군,,一千四百三十九。,
309,5,wda_40007004_006,全羅道 / 長興都護府 / 高興縣,,전라도 / 장흥도호부 / 고흥현,,六百八十六。,8372
310,5,wda_40007004_007,全羅道 / 長興都護府 / 綾城縣,,전라도 / 장흥도호부 / 능성현,,七百六十三。,770
311,5,wda_40007004_008,全羅道 / 長興都護府 / 昌平縣,,전라도 / 장흥도호부 / 창평현,,九百五十二。,1450
312,5,wda_40007004_009,全羅道 / 長興都護府 / 和順縣,,전라도 / 장흥도호부 / 화순현,,六百十五。,491
313,5,wda_40007004_010,全羅道 / 長興都護府 / 同福縣,,전라도 / 장흥도호부 / 동복현,,二百八十九。,448
314,5,wda_40007004_011,全羅道 / 長興都護府 / 玉果縣,,전라도 / 장흥도호부 / 옥과현,,八百三十七。,1006
315,5,wda_40007004_012,全羅道 / 長興都護府 / 珍原縣,,전라도 / 장흥도호부 / 진원현,,七百四十七。,1905
316,5,wda_40007005_001,全羅道 / 濟州牧 / 旌義縣,,전라도 / 제주목 / 정의현,,二千七十三。,1039
317,5,wda_40007005_002,全羅道 / 濟州牧 / 大靜縣,,전라도 / 제주목 / 대정현,,八千五百。,83
318,5,wda_40008001_001,黃海道 / 黃州牧 / 瑞興都護府,,황해도 / 황주목 / 서흥도호부,,四千三百三十七。,163
319,5,wda_40008001_002,黃海道 / 黃州牧 / 鳳山郡,,황해도 / 황주목 / 봉산군,,六千二百。,524
320,5,wda_40008001_003,黃海道 / 黃州牧 / 安岳郡,,황해도 / 황주목 / 안악군,,三千七百三。,371
321,5,wda_40008001_004,黃海道 / 黃州牧 / 遂安郡,,황해도 / 황주목 / 수안군,,三千七百八十六。,105
322,5,wda_40008001_005,黃海道 / 黃州牧 / 谷山郡,,황해도 / 황주목 / 곡산군,,二千八百二十八。,157
323,5,wda_40008001_006,黃海道 / 黃州牧 / 新恩縣,,황해도 / 황주목 / 신은현,,三千一百八十九。,307
324,5,wda_40008002_001,黃海道 / 海州牧 / 載寧郡,,황해도 / 해주목 / 재령군,,三千八百八十五。,557
325,5,wda_40008002_002,黃海道 / 海州牧 / 甕津縣,,황해도 / 해주목 / 옹진현,,九百八十五。,151
326,5,wda_40008002_003,黃海道 / 海州牧 / 長淵縣,,황해도 / 해주목 / 장연현,,二千一百單四。,700
327,5,wda_40008002_004,黃海道 / 海州牧 / 康翎縣,,황해도 / 해주목 / 강령현,,一千六十八。,667
328,5,wda_40008002_005,黃海道 / 海州牧 / 信川縣,,황해도 / 해주목 / 신천현,,三千八十一。,630
329,5,wda_40008003_001,黃海道 / 延安都護府 / 平山都護府,,황해도 / 연안도호부 / 평산도호부,,六千三百二十三。,132
330,5,wda_40008003_002,黃海道 / 延安都護府 / 白川郡,,황해도 / 연안도호부 / 백천군,,三千一百六十七。,687
331,5,wda_40008003_003,黃海道 / 延安都護府 / 牛峯縣,,황해도 / 연안도호부 / 우봉현,,二千一百八十。,748
332,5,wda_40008003_004,黃海道 / 延安都護府 / 兎山縣,,황해도 / 연안도호부 / 토산현,,一千一百八十六。,181
333,5,wda_40008003_005,黃海道 / 延安都護府 / 江陰縣,,황해도 / 연안도호부 / 강음현,,九百六十四。,4902
334,5,wda_40008004_001,黃海道 / 豐川郡 / 文化縣,,황해도 / 풍천군 / 문화현,,二千一百三十六。,8324
335,5,wda_40008004_002,黃海道 / 豐川郡 / 松禾縣·靑松縣,,황해도 / 풍천군 / 송화현·청송현,,一千九百四十五。,251
336,5,wda_40008004_003,黃海道 / 豐川郡 / 殷栗縣,,황해도 / 풍천군 / 은율현,,一千一百四十三。,775
337,5,wda_40008004_004,黃海道 / 豐川郡 / 長連縣·長命鎭,,황해도 / 풍천군 / 장련현·장명진,,八百七十四。,280
338,5,wda_40009001_001,江原道 / 江陵大都護府 / 襄陽都護府,本府,강원도 / 강릉대도호부 / 양양도호부,본부,一千二百七十七。,39
339,5,wda_40009001_001,江原道 / 江陵大都護府 / 襄陽都護府,洞山縣,강원도 / 강릉대도호부 / 양양도호부,동산현,二百十八。,155
340,5,wda_40009001_002,江原道 / 江陵大都護府 / 旌善郡,,강원도 / 강릉대도호부 / 정선군,,四百五十九。,28
341,5,wda_40009001_003,江原道 / 江陵大都護府 / 平昌郡,,강원도 / 강릉대도호부 / 평창군,,五百單一。,46
342,5,wda_40009002_001,江原道 / 原州牧 / 寧越郡,,강원도 / 원주목 / 영월군,,六百十一。,284
343,5,wda_40009002_002,江原道 / 原州牧 / 橫城縣,,강원도 / 원주목 / 횡성현,,五百九十五。,251
344,5,wda_40009002_003,江原道 / 原州牧 / 洪川縣,本縣,강원도 / 원주목 / 홍천현,본현,一千一百五十四。,254
345,5,wda_40009002_003,江原道 / 原州牧 / 洪川縣,寺伊巖莊,강원도 / 원주목 / 홍천현,사이암장,五十七。,1498
346,5,wda_40009003_001,江原道 / 淮陽都護府 / 金城縣,本縣,강원도 / 회양도호부 / 금성현,본현,七百五十九。,4248
347,5,wda_40009003_001,江原道 / 淮陽都護府 / 金城縣,通溝縣,강원도 / 회양도호부 / 금성현,통구현,九十六。,14809
348,5,wda_40009003_002,江原道 / 淮陽都護府 / 金化縣,,강원도 / 회양도호부 / 김화현,,五百十七。,5271
349,5,wda_40009003_003,江原道 / 淮陽都護府 / 平康縣,,강원도 / 회양도호부 / 평강현,,二百十二。,2157
350,5,wda_40009003_004,江原道 / 淮陽都護府 / 伊川縣,,강원도 / 회양도호부 / 이천현,,五百八十二。,21805
351,5,wda_40009004_001,江原道 / 三陟都護府 / 平海郡,,강원도 / 삼척도호부 / 평해군,,九百十一。,3637
352,5,wda_40009004_002,江原道 / 三陟都護府 / 蔚珍縣,,강원도 / 삼척도호부 / 울진현,,一千四百八十三。,2294
353,5,wda_40009005_001,江原道 / 春川都護府 / 狼川縣,,강원도 / 춘천도호부 / 낭천현,,七百五十。,348
354,5,wda_40009005_002,江原道 / 春川都護府 / 楊口縣,本縣,강원도 / 춘천도호부 / 양구현,본현,六百四十一。,1876
355,5,wda_40009005_002,江原道 / 春川都護府 / 楊口縣,方山,강원도 / 춘천도호부 / 양구현,방산,五十。,1021
356,5,wda_40009005_003,江原道 / 春川都護府 / 麟蹄縣,本縣,강원도 / 춘천도호부 / 인제현,본현,二百單七。,1203
357,5,wda_40009005_003,江原道 / 春川都護府 / 麟蹄縣,瑞和,강원도 / 춘천도호부 / 인제현,서화,一百九十一。,356
358,5,wda_40009006_001,江原道 / 杆城郡 / 高城郡,本郡,강원도 / 간성군 / 고성군,본군,八百七十一。,907
359,5,wda_40009006_001,江原道 / 杆城郡 / 高城郡,安昌,강원도 / 간성군 / 고성군,안창,一百三十四。,644
360,5,wda_40009006_002,江原道 / 杆城郡 / 通川郡,本郡,강원도 / 간성군 / 통천군,본군,一千三百六十三。,1249
361,5,wda_40009006_002,江原道 / 杆城郡 / 通川郡,臨道,강원도 / 간성군 / 통천군,임도,二百十二。,1203
362,5,wda_40009006_003,江原道 / 杆城郡 / 歙谷縣,,강원도 / 간성군 / 흡곡현,,六百七十五。,342
363,5,wda_40010001_001,平安道 / 平壤府 / 中和郡,,평안도 / 평양부 / 중화군,,二千七百單十。,972
364,5,wda_40010001_002,平安道 / 平壤府 / 祥原郡,,평안도 / 평양부 / 상원군,,一千八百九十九。,481
365,5,wda_40010001_003,平安道 / 平壤府 / 三登縣,,평안도 / 평양부 / 삼등현,,七百四十二。,224
366,5,wda_40010001_004,平安道 / 平壤府 / 江東縣,,평안도 / 평양부 / 강동현,,一千八百二十三。,1427
367,5,wda_40010001_005,平安道 / 平壤府 / 順安縣,,평안도 / 평양부 / 순안현,,一千七百五十一。,343
368,5,wda_40010001_006,平安道 / 平壤府 / 甑山縣,,평안도 / 평양부 / 증산현,,八百三十五。,255
369,5,wda_40010001_007,平安道 / 平壤府 / 咸從縣,,평안도 / 평양부 / 함종현,,一千五百三十九。,307
370,5,wda_40010001_008,平安道 / 平壤府 / 三和縣,,평안도 / 평양부 / 삼화현,,三千一百單五。,1102
371,5,wda_40010001_009,平安道 / 平壤府 / 江西縣,,평안도 / 평양부 / 강서현,,一千六百九十九。,479
372,5,wda_40010001_010,平安道 / 平壤府 / 龍岡縣,,평안도 / 평양부 / 용강현,,二千六百四十三。,198
373,5,wda_40010002_001,平安道 / 安州牧 / 成川都護府,,평안도 / 안주목 / 성천도호부,,二千九百九十九。,871
374,5,wda_40010002_002,平安道 / 安州牧 / 肅川都護府,,평안도 / 안주목 / 숙천도호부,,一千八百五十五。,924
375,5,wda_40010002_003,平安道 / 安州牧 / 慈山郡,,평안도 / 안주목 / 자산군,,一千一百八十一。,1361
376,5,wda_40010002_004,平安道 / 安州牧 / 順川郡,,평안도 / 안주목 / 순천군,,一千七百四十一。,1481
377,5,wda_40010002_005,平安道 / 安州牧 / 价川郡,,평안도 / 안주목 / 가천군,,五千四百三十九。,1389
378,5,wda_40010002_006,平安道 / 安州牧 / 德川郡,,평안도 / 안주목 / 덕천군,,三千七百十六。,844
379,5,wda_40010002_007,平安道 / 安州牧 / 永柔縣,,평안도 / 안주목 / 영유현,,二千一百七十一。,720
380,5,wda_40010002_008,平安道 / 安州牧 / 孟山縣,,평안도 / 안주목 / 맹산현,,九百單七。,375
381,5,wda_40010002_009,平安道 / 安州牧 / 殷山縣,,평안도 / 안주목 / 은산현,,一千二百。,308
382,5,wda_40010002_010,平安道 / 安州牧 / 陽德縣,,평안도 / 안주목 / 양덕현,,九百五十二。,1079
383,5,wda_40010003_001,平安道 / 義州牧 / 定州牧,,평안도 / 의주목 / 정주목,,五千四百六十六。,423
384,5,wda_40010003_002,平安道 / 義州牧 / 麟山郡,,평안도 / 의주목 / 인산군,,三百二十三。,496
385,5,wda_40010003_003,平安道 / 義州牧 / 龍川郡,,평안도 / 의주목 / 용천군,,一千一百三十二。,300
386,5,wda_40010003_004,平安道 / 義州牧 / 鐵山郡,,평안도 / 의주목 / 철산군,,六百五十九。,982
387,5,wda_40010003_005,平安道 / 義州牧 / 郭山郡,,평안도 / 의주목 / 곽산군,,二千四百八十一。,677
388,5,wda_40010003_006,平安道 / 義州牧 / 隨川郡,,평안도 / 의주목 / 수천군,,三千一百單八。,551
389,5,wda_40010003_007,平安道 / 義州牧 / 宣川郡,,평안도 / 의주목 / 선천군,,四千四百十七。,2608
390,5,wda_40010003_008,平安道 / 義州牧 / 嘉山郡,,평안도 / 의주목 / 가산군,,一千七百五十六。,2073
391,5,wda_40010003_009,平安道 / 義州牧 / 定寧縣,,평안도 / 의주목 / 정녕현,,八百三十九。,8501
392,5,wda_40010004_001,平安道 / 朔州都護府 / 寧邊大都護府,,평안도 / 삭주도호부 / 영변대도호부,,二千九百單六。,208
393,5,wda_40010004_002,平安道 / 朔州都護府 / 昌城郡,,평안도 / 삭주도호부 / 창성군,,二千二百。,57
394,5,wda_40010004_003,平安道 / 朔州都護府 / 碧潼郡,,평안도 / 삭주도호부 / 벽동군,,二千七百二十六。,759
395,5,wda_40010004_004,平安道 / 朔州都護府 / 雲山郡,,평안도 / 삭주도호부 / 운산군,,二千七百六十三。,96
396,5,wda_40010004_005,平安道 / 朔州都護府 / 博川郡,,평안도 / 삭주도호부 / 박천군,,一千三十五。,202
397,5,wda_40010004_006,平安道 / 朔州都護府 / 泰川郡,,평안도 / 삭주도호부 / 태천군,,六百十五。,641
398,5,wda_40010005_001,平安道 / 江界都護府 / 理山郡,,평안도 / 강계도호부 / 이산군,,一千六百八十六。,50
399,5,wda_40010005_002,平安道 / 江界都護府 / 熙川郡,,평안도 / 강계도호부 / 희천군,,一千六十。,191
400,5,wda_40010005_003,平安道 / 江界都護府 / 閭延郡,,평안도 / 강계도호부 / 여연군,,一千五百七十三。,134
401,5,wda_40010005_004,平安道 / 江界都護府 / 慈城郡,,평안도 / 강계도호부 / 자성군,,二千五百七十六。,202
402,5,wda_40010005_005,平安道 / 江界都護府 / 茂昌郡,,평안도 / 강계도호부 / 무창군,,二百九十一。,1899
403,5,wda_40010005_006,平安道 / 江界都護府 / 虞芮郡,,평안도 / 강계도호부 / 우예군,,三百三十一。,2200
404,5,wda_40010005_007,平安道 / 江界都護府 / 渭原郡,,평안도 / 강계도호부 / 위원군,,一千五百四十四。,2726
405,5,wda_40011001_001,咸吉道 / 咸興府 / 定平都護府,,함길도 / 함흥부 / 정평도호부,,三千八百十九。,1686
406,5,wda_40011001_002,咸吉道 / 咸興府 / 北靑都護府,,함길도 / 함흥부 / 북청도호부,,四千四百五十九。,1060
407,5,wda_40011002_001,咸吉道 / 永興大都護府 / 高原郡,,함길도 / 영흥대도호부 / 고원군,,一千一百七十八。,1573
408,5,wda_40011002_002,咸吉道 / 永興大都護府 / 文川郡,,함길도 / 영흥대도호부 / 문천군,,九百五十三。,2576
409,5,wda_40011002_003,咸吉道 / 永興大都護府 / 預原郡,,함길도 / 영흥대도호부 / 예원군,,二千六百九十八。,291
410,5,wda_40011003_001,咸吉道 / 安邊都護府 / 宜川郡,,함길도 / 안변도호부 / 의천군,,八百五十。,331
411,5,wda_40011003_002,咸吉道 / 安邊都護府 / 龍津縣,,함길도 / 안변도호부 / 용진현,,八百八十二。,1544
412,5,wda_40011004_001,咸吉道 / 吉州牧 / 慶源都護府,,함길도 / 길주목 / 경원도호부,,三千二百三十三。,3233
413,5,wda_40011004_002,咸吉道 / 吉州牧 / 端川郡,,함길도 / 길주목 / 단천군,,二千七百三十一。,2731
414,5,wda_40011004_003,咸吉道 / 吉州牧 / 甲山郡,,함길도 / 길주목 / 갑산군,,八百九十一。,891
415,5,wda_40011004_004,咸吉道 / 吉州牧 / 鏡城郡,,함길도 / 길주목 / 경성군,,九千三十一。,9031
,,,,,,,,1135393
